NO_OF_FRAMES	24000
NO_OF_CAMERAS	18
NO_OF_MARKERS	1
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-11, 09:16:52.722	2649.02526600
DATA_INCLUDED	3D
MARKER_NAMES	marker
TRAJECTORY_TYPES	Measured
Frame	Time	marker X	marker Y	marker Z	
156	0.77500	861.823	357.711	539.887
157	0.78000	862.032	363.361	537.383
158	0.78500	862.065	368.942	535.048
159	0.79000	862.020	374.469	533.011
160	0.79500	861.944	380.021	531.212
161	0.80000	861.867	385.576	529.605
162	0.80500	861.989	391.124	528.206
163	0.81000	862.318	396.742	526.837
164	0.81500	862.931	402.447	525.532
165	0.82000	863.928	408.261	524.147
166	0.82500	865.251	414.168	522.551
167	0.83000	866.943	420.331	520.798
168	0.83500	868.930	426.591	518.744
169	0.84000	871.121	433.015	516.474
170	0.84500	873.529	439.475	513.936
171	0.85000	876.056	445.943	511.104
172	0.85500	878.595	452.374	508.054
173	0.86000	881.040	458.778	504.858
174	0.86500	883.271	465.117	501.540
175	0.87000	885.249	471.343	498.117
176	0.87500	886.887	477.533	494.735
177	0.88000	888.150	483.637	491.514
178	0.88500	889.039	489.567	488.435
179	0.89000	889.581	495.310	485.602
180	0.89500	889.886	500.858	483.028
181	0.90000	890.006	506.279	480.712
182	0.90500	890.064	511.640	478.594
183	0.91000	890.109	516.970	476.658
184	0.91500	890.301	522.382	474.827
185	0.92000	890.780	527.912	473.073
186	0.92500	891.664	533.598	471.382
187	0.93000	893.029	539.372	469.646
188	0.93500	894.971	545.302	467.879
189	0.94000	897.431	551.306	465.951
190	0.94500	900.392	557.423	463.923
191	0.95000	903.717	563.606	461.689
192	0.95500	907.259	569.791	459.278
193	0.96000	910.893	575.929	456.690
194	0.96500	914.470	582.016	453.959
195	0.97000	917.928	588.056	451.153
196	0.97500	921.163	594.012	448.349
197	0.98000	924.026	599.870	445.536
198	0.98500	926.437	605.557	442.794
199	0.99000	928.482	611.186	440.250
200	0.99500	930.033	616.679	437.905
201	1.00000	931.220	621.964	435.775
202	1.00500	932.026	627.037	433.816
203	1.01000	932.651	632.016	432.153
204	1.01500	933.152	636.942	430.686
205	1.02000	933.718	641.853	429.393
206	1.02500	934.424	646.773	428.218
207	1.03000	935.405	651.650	427.109
208	1.03500	936.773	656.560	426.054
209	1.04000	938.561	661.444	424.941
210	1.04500	940.772	666.321	423.664
211	1.05000	943.397	671.219	422.194
212	1.05500	946.366	676.163	420.461
213	1.06000	949.552	681.130	418.458
214	1.06500	952.940	686.155	416.148
215	1.07000	956.413	691.197	413.621
216	1.07500	959.835	696.172	410.923
217	1.08000	963.195	701.136	408.177
218	1.08500	966.376	706.023	405.468
219	1.09000	969.328	710.766	402.920
220	1.09500	972.081	715.427	400.600
221	1.10000	974.576	719.887	398.605
222	1.10500	976.804	724.140	396.952
223	1.11000	978.744	728.204	395.664
224	1.11500	980.546	732.164	394.759
225	1.12000	982.089	736.008	394.219
226	1.12500	983.596	739.832	394.016
227	1.13000	985.094	743.635	394.070
228	1.13500	986.638	747.428	394.316
229	1.14000	988.508	751.221	394.715
230	1.14500	990.579	755.063	395.220
231	1.15000	993.083	758.931	395.783
232	1.15500	996.011	762.827	396.278
233	1.16000	999.378	766.815	396.753
234	1.16500	1003.217	770.877	397.190
235	1.17000	1007.456	774.951	397.507
236	1.17500	1012.034	779.090	397.747
237	1.18000	1016.892	783.184	397.964
238	1.18500	1021.956	787.237	398.187
239	1.19000	1027.011	791.133	398.366
240	1.19500	1032.130	794.933	398.583
241	1.20000	1037.132	798.581	398.876
242	1.20500	1042.026	802.101	399.215
243	1.21000	1046.629	805.453	399.665
244	1.21500	1051.029	808.652	400.262
245	1.22000	1055.093	811.623	400.908
246	1.22500	1058.811	814.445	401.657
247	1.23000	1062.273	817.134	402.537
248	1.23500	1065.442	819.607	403.380
249	1.24000	1068.425	821.946	404.285
250	1.24500	1071.271	824.131	405.112
251	1.25000	1074.034	826.228	405.838
252	1.25500	1076.805	828.226	406.440
253	1.26000	1079.642	830.104	406.829
254	1.26500	1082.603	831.946	406.979
255	1.27000	1085.720	833.746	406.904
256	1.27500	1089.017	835.543	406.553
257	1.28000	1092.519	837.319	405.968
258	1.28500	1096.179	839.085	405.206
259	1.29000	1099.997	840.793	404.265
260	1.29500	1103.918	842.471	403.291
261	1.30000	1107.903	844.096	402.363
